ZIP Code,Population,Housing Units,Households
20120,44193,14630,14470
20121,30468,10275,10103
20124,16152,4986,4957
20151,26876,7874,7773
20152,3,1,1
20164,4,1,1
20170,40257,13961,13678
20171,58257,21415,20845
20190,22667,12015,11550
20191,32665,13402,13105
20194,14421,5860,5755
22003,57245,19798,19439
22015,43969,14833,14699
22027,2341,736,725
22030,43127,13889,13590
22031,34314,12764,12430
22032,29143,9610,9501
22033,41578,16462,16194
22035,558,270,261
22039,19328,6137,6095
22041,27936,10865,10559
22042,33212,12522,12182
22043,25451,9635,9393
22044,11384,4755,4649
22046,5359,2097,2065
22060,11130,3165,3131
22066,19592,5856,5836
22079,36550,12257,11951
22101,30708,11516,11204
22102,32010,15990,14762
22124,18662,6601,6498
22150,28291,9261,9089
22151,17467,5818,5718
22152,28770,10379,10247
22153,33094,10869,10735
22180,28170,10255,10059
22181,15833,5535,5467
22182,29458,10259,10109
22203,328,150,149
22204,46,14,14
22206,7,2,2
22207,137,49,48
22213,16,6,6
22302,1542,650,622
22303,17044,8874,8518
22304,350,148,145
22306,33319,13076,12616
22307,10919,4707,4637
22308,13679,4878,4799
22309,34229,11691,11443
22310,29424,11046,10823
22311,1648,614,599
22312,23877,8605,8385
22315,28770,11486,11235
