School Name,Zip Code,GreatSchools Rating
Colvin Run Elementary School,22182,9
Churchill Road Elementary School,22101,9
Great Falls Elementary School,22066,9
Haycock Elementary School,22043,9
Kent Gardens Elementary School,22101,9
Spring Hill Elementary School,22102,9
Westbriar Elementary School,22182,9
Rocky Run Middle School,20151,9
Thomas Jefferson High for Science and Technology,22312,9
Sangster Elementary School,22153,9
Chesterbrook Elementary School,22101,8
Cooper Middle School,22101,8
Flint Hill Elementary School,22181,8
Floris Elementary School,20171,8
Laurel Hill Elementary School,22079,8
Keene Mill Elementary School,22152,8
Langley High School,22101,8
Lemon Road Elementary School,22043,8
Navy Elementary School,22033,8
Sunrise Valley Elementary School,20191,8
Vienna Elementary School,22180,8
Waynewood Elementary School,22308,8
West Springfield High School,22152,8
Wolftrap Elementary School,22182,8
Woodson High School,22031,8
Forestville Elementary School,22066,8
Cherry Run Elementary School,22015,8
Silverbrook Elementary School,22039,8
Poplar Tree Elementary School,20151,8
Island Creek Elementary School,22315,7
Powell Elementary School,20120,7
Belvedere Elementary School,22041,7
Canterbury Woods Elementary School,22003,7
Cardinal Forest Elementary School,22152,7
Fairview Elementary School,22039,7
Sherman Elementary School,22101,7
Frost Middle School,22032,7
Gunston Elementary School,22079,7
Hayfield Elementary School,22315,7
Hunt Valley Elementary School,22152,7
Lake Braddock Secondary,22015,7
Laurel Ridge Elementary School,22032,7
South County Middle School,22079,7
Louise Archer Elementary School,22180,7
Mclean High School,22101,7
Oak View Elementary School,22032,7
Oakton Elementary School,22124,7
Orange Hunt Elementary School,22152,7
Robinson Secondary,22032,7
Springfield Estates Elementary School,22150,7
Stenwood Elementary School,22180,7
Stratford Landing Elementary School,22308,7
Wakefield Forest Elementary School,22032,7
West Springfield Elementary School,22152,7
Carson Middle School,20171,7
Terra Centre Elementary School,22015,7
White Oaks Elementary School,22015,7
Oak Hill Elementary School,20171,7
Crossfield Elementary School,20171,7
Willow Springs Elementary School,22030,7
South County High School,22079,6
Chantilly High School,20151,6
Stone Middle School,20120,6
Bush Hill Elementary School,22310,6
Clermont Elementary School,22310,6
Columbia Elementary School,22003,6
Fairfax Villa Elementary School,22030,6
Fairhill Elementary School,22031,6
Fort Hunt Elementary School,22308,6
Greenbriar West Elementary School,22033,6
Hunters Woods Elementary,20191,6
Irving Middle School,22152,6
Kilmer Middle School,22182,6
Longfellow Middle School,22043,6
Madison High School,22181,6
Mantua Elementary School,22031,6
Marshall High School,22043,6
Mosby Woods Elementary School,22031,6
Oakton High School,22181,6
South Lakes High School,20191,6
Thoreau Middle School,22180,6
Twain Middle School,22310,6
Fox Mill Elementary School,20171,6
Hughes Middle School,20191,6
Kings Glen Elementary School,22151,6
Franklin Middle School,20151,6
Union Mill Elementary School,20124,6
Lees Corner Elementary School,22033,6
Saratoga Elementary School,22153,6
McNair Upper Elementary,20171,6
Daniels Run Elementary School,22030,5
Providence Elementary School,22030,5
Liberty Middle School,20124,5
Eagle View Elementary School,22030,5
Bren Mar Park Elementary School,22312,5
Waples Mill Elementary School,22124,5
Cunningham Park Elementary School,22180,5
Fairfax High School,22030,5
Forest Edge Elementary School,20190,5
Franconia Elementary School,22310,5
Garfield Elementary School,22150,5
Greenbriar East Elementary School,22033,5
Hayfield Secondary,22315,5
Kings Park Elementary School,22151,5
Johnson Middle School,22030,5
Little Run Elementary School,22032,5
Olde Creek Elementary School,22032,5
Ravensworth Elementary School,22151,5
Riverside Elementary School,22309,5
Terraset Elementary School,20191,5
Timber Lane Elementary School,22046,5
Westgate Elementary School,22043,5
Aldrin Elementary School,20194,5
Deer Park Elementary School,20120,5
Centreville Elementary School,20121,5
Lane Elementary School,22315,5
Halley Elementary School,22039,5
Newington Forest Elementary School,22153,5
Armstrong Elementary School,20194,5
Cub Run Elementary School,20120,5
Centreville High School,20124,5
Bonnie Brae Elementary School,22032,5
Dranesville Elementary School,20170,5
Virginia Run Elementary School,20120,5
Bull Run Elementary School,20121,4
Westfield High School,20151,4
Lorton Station Elementary School,22079,4
Fairfax County Adult High,22151,4
Belle View Elementary School,22307,4
Camelot Elementary School,22003,4
Cameron Elementary School,22303,4
Edison High School,22310,4
Glasgow Middle School,22312,4
West Potomac High School,22307,4
Herndon Middle School,20170,4
Holmes Middle School,22312,4
Coates Elementary,20171,4
Mason Crest Elementary School,22003,4
Jackson Middle School,22042,4
Mount Eagle Elementary School,22303,4
Mount Vernon High School,22309,4
North Springfield Elementary School,22151,4
Rolling Valley Elementary School,22152,4
Clearview Elementary School,20170,4
Fort Belvoir Upper School,22060,4
Annandale High School,22003,3
